   |A         |B         |C         |D         |E         |F         |G         |H         |I         |J         |K         |L         |
1  |0.1       |18.1      |36.1      |54.1      |72.1      |90.1      |108.1     |126.1     |144.1     |162.1     |180.1     |198.1     |
2  |1.1       |19.1      |37.1      |55.1      |73.1      |91.1      |109.1     |127.1     |145.1     |163.1     |181.1     |199.1     |
3  |2.1       |20.1      |38.1      |56.1      |74.1      |92.1      |110.1     |128.1     |146.1     |164.1     |182.1     |200.1     |
4  |3.1       |21.1      |39.1      |57.1      |75.1      |93.1      |111.1     |129.1     |147.1     |165.1     |183.1     |201.1     |
5  |4.1       |22.1      |40.1      |58.1      |76.1      |94.1      |112.1     |130.1     |148.1     |166.1     |184.1     |202.1     |
6  |5.1       |23.1      |41.1      |59.1      |77.1      |95.1      |113.1     |131.1     |149.1     |167.1     |185.1     |203.1     |
7  |6.1       |24.1      |42.1      |60.1      |78.1      |96.1      |114.1     |132.1     |150.1     |168.1     |186.1     |204.1     |
8  |7.1       |25.1      |43.1      |61.1      |79.1      |97.1      |115.1     |133.1     |151.1     |169.1     |187.1     |205.1     |
9  |8.1       |26.1      |44.1      |62.1      |80.1      |98.1      |116.1     |134.1     |152.1     |170.1     |188.1     |206.1     |
10 |9.1       |27.1      |45.1      |63.1      |81.1      |99.1      |117.1     |135.1     |153.1     |171.1     |189.1     |207.1     |
11 |10.1      |28.1      |46.1      |64.1      |82.1      |100.1     |118.1     |136.1     |154.1     |172.1     |190.1     |208.1     |
12 |11.1      |29.1      |47.1      |65.1      |83.1      |101.1     |119.1     |137.1     |155.1     |173.1     |191.1     |209.1     |
13 |12.1      |30.1      |48.1      |66.1      |84.1      |102.1     |120.1     |138.1     |156.1     |174.1     |192.1     |210.1     |
14 |13.1      |31.1      |49.1      |67.1      |85.1      |103.1     |121.1     |139.1     |157.1     |175.1     |193.1     |211.1     |
15 |14.1      |32.1      |50.1      |68.1      |86.1      |104.1     |122.1     |140.1     |158.1     |176.1     |194.1     |212.1     |
16 |15.1      |33.1      |51.1      |69.1      |87.1      |105.1     |123.1     |141.1     |159.1     |177.1     |195.1     |213.1     |
17 |16.1      |34.1      |52.1      |70.1      |88.1      |106.1     |124.1     |142.1     |160.1     |178.1     |196.1     |214.1     |
18 |17.1      |35.1      |53.1      |71.1      |89.1      |107.1     |125.1     |143.1     |161.1     |179.1     |197.1     |215.1     |
19 |( 0.2 + 01|( 0.2 + 11|( 0.2 + 21|( 0.2 + 31|( 0.2 + 41|( 0.2 + 51|( 0.2 + 61|( 0.2 + 71|( 0.2 + 81|( 0.2 + 91|( 0.2 + 10|( 0.2 + 11|
20 |B4 = ( avg|( 1 * 2 / |B4 = ( avg|( 1 * 2 / |B4 = ( avg|( 1 * 2 / |B4 = ( avg|( 1 * 2 / |B4 = ( avg|( 1 * 2 / |B4 = ( avg|( 1 * 2 / |
