   |A         |B         |C         |D         |E         |F         |G         |H         |I         |J         |K         |L         |
1  |1%        |          |          |          |          |          |          |          |          |          |          |          |
2  |-5.0      |          |          |          |          |          |          |          |          |          |          |          |
3  |          |          |          |          |          |          |          |          |          |          |          |          |
4  |          |          |          |          |          |          |          |          |          |          |          |          |
5  |          |          |          |          |          |          |          |          |          |          |          |          |
6  |          |          |          |          |          |          |          |          |          |          |          |          |
7  |          |          |          |          |          |          |          |          |          |          |          |          |
8  |          |          |          |ChocolateC|          |          |          |          |          |          |          |          |
9  |          |          |          |          |          |          |          |          |          |          |          |          |
10 |          |          |          |          |          |          |          |          |          |          |          |          |
11 |          |          |          |          |          |          |          |          |          |          |          |          |
12 |          |          |          |          |          |          |          |          |          |          |          |          |
13 |          |          |          |          |          |          |          |          |          |          |          |          |
14 |          |          |          |          |          |          |          |          |          |          |          |          |
15 |          |          |          |          |          |          |          |          |          |          |          |          |
16 |          |          |          |          |          |          |          |          |          |          |          |          |
17 |          |          |          |          |          |          |          |          |          |          |          |          |
18 |          |          |          |          |          |          |          |          |          |          |          |          |
19 |          |          |          |          |          |          |          |          |          |          |2.718     |          |
20 |          |          |          |          |          |          |          |          |          |          |          |0.0       |
