   |A         |B         |C         |D         |E         |F         |G         |H         |I         |J         |K         |L         |
1  |23%       |          |          |          |          |          |          |          |          |          |          |          |
2  |          |          |          |          |          |          |          |          |          |          |          |          |
3  |          |-52.5     |          |          |          |          |          |          |          |          |          |          |
4  |          |          |          |          |          |( 2 + 1 * |          |          |          |          |          |          |
5  |          |          |          |          |          |          |          |          |          |          |          |          |
6  |          |          |          |          |          |          |          |          |          |2.888     |          |          |
7  |          |          |          |          |          |          |          |          |          |          |          |          |
8  |          |          |          |          |          |          |          |          |          |          |          |          |
9  |          |          |          |          |          |          |          |          |          |          |          |          |
10 |          |          |          |ChocolateC|          |          |          |          |          |          |          |          |
11 |          |          |          |          |          |          |          |          |          |          |          |          |
12 |          |          |          |          |          |          |          |          |          |          |          |          |
13 |          |          |          |          |          |          |          |          |          |          |          |          |
14 |          |          |          |          |          |          |          |          |          |          |          |          |
15 |          |          |          |          |          |          |          |          |          |          |          |          |
16 |          |          |          |          |          |          |          |          |          |          |          |          |
17 |          |          |          |          |          |          |          |          |          |          |          |          |
18 |          |          |          |          |          |          |          |          |          |          |          |          |
19 |          |          |          |          |          |          |          |          |          |          |          |          |
20 |          |          |          |          |          |          |          |          |          |          |          |0.0       |
